frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
64,1.066667,176.856339,-42.808521,178.223694,209.413177,48.374134,166.341049,-176.815750,84.995316,177.286499,203.089737,7.850752,254.102371,89.775528,-6.084066,-0.973617,139.986862,46.235813,155.637573,-96.645050,-4.398041,177.847214,77.922653,80.268730,138.416550
65,1.083333,176.865234,-42.832603,178.233429,209.413528,48.370693,166.337082,-176.815109,84.995293,177.285843,203.078293,7.809362,254.126999,89.779633,-6.083464,-0.972356,139.986847,46.235733,155.637527,85.194527,4.623614,1.682021,77.901497,80.273415,138.459167
66,1.100000,176.865875,-42.835777,178.260147,209.411377,48.370247,166.337891,-176.814529,84.995255,177.285263,203.075119,7.816104,254.119781,89.775612,-6.086822,-0.975545,139.987350,46.235214,155.636581,-96.630905,-4.396033,177.857819,77.923286,80.269562,138.418198
67,1.116667,176.866196,-42.817150,178.247711,209.411453,48.372025,166.339676,-176.814499,84.995247,177.285233,203.060104,7.794268,254.142426,89.776535,-6.082139,-0.972337,139.987228,46.235352,155.637344,85.193085,4.625679,1.685638,77.900948,80.274063,138.459534
68,1.133333,176.872101,-42.839451,178.257294,209.411484,48.369579,166.336639,-176.814041,84.995224,177.284744,203.057770,7.834495,254.115433,89.777428,-6.085999,-0.969385,139.986694,46.236084,155.636810,-96.651871,-4.397504,177.839996,77.921761,80.267143,138.414825
69,1.150000,176.870316,-42.840218,178.266037,209.410858,48.368801,166.336990,-176.813690,84.995186,177.284393,203.051895,7.856586,254.108673,89.776840,-6.085426,-0.972579,139.986771,46.235142,155.636749,85.194244,4.614429,1.670855,77.901184,80.274178,138.459869
70,1.166667,176.870926,-42.833492,178.245667,209.412079,48.370914,166.338211,-176.815033,84.995323,177.285797,203.025467,7.922192,254.081375,89.781509,-6.083835,-0.971897,139.986633,46.236481,155.637070,-96.637161,-4.396481,177.854980,77.922676,80.269814,138.417648
71,1.183333,176.875443,-42.833862,178.248398,209.411865,48.368744,166.337143,-162.344437,84.821175,162.702805,202.980347,7.906276,254.105667,89.777794,-6.083980,-0.972575,139.987442,46.235447,155.636108,85.189751,4.618733,1.681571,77.900055,80.272903,138.458710
72,1.200000,176.868515,-42.832790,178.246231,209.412796,48.370670,166.337921,-162.343460,84.821129,162.701767,202.931549,7.966973,254.093597,89.781639,-6.082528,-0.972956,139.987518,46.234653,155.637131,-96.638351,-4.397997,177.853348,77.922409,80.269333,138.416809
73,1.216667,176.863083,-42.818241,178.245438,209.411407,48.371609,166.340576,-162.342636,84.821228,162.700928,202.876160,8.062660,254.070618,89.777954,-6.085813,-0.974793,139.987228,46.236355,155.637009,85.190201,4.624969,1.682374,77.900352,80.272255,138.458832
74,1.233333,176.870804,-42.845268,178.262482,209.410950,48.369530,166.336426,-162.339554,84.821144,162.697739,202.776917,8.070109,254.099686,89.776535,-6.084059,-0.974177,139.987534,46.236012,155.636749,-96.638062,-4.393969,177.853928,77.922760,80.267700,138.416672
75,1.250000,176.862106,-42.837292,178.252258,209.411880,48.370281,166.336517,-162.334808,84.821098,162.692978,202.674240,8.235657,254.032211,89.779480,-6.080297,-0.978529,139.986008,46.241695,155.637634,85.202583,4.617071,1.673200,77.900764,80.273979,138.460403
76,1.266667,176.864853,-42.829880,178.246094,209.412796,48.369606,166.337158,-162.336182,84.821136,162.694397,202.549194,8.324575,254.009888,89.780693,-6.088219,-0.976583,139.986740,46.235344,155.636780,-96.622688,-4.390711,177.865280,77.923164,80.270844,138.420059
77,1.283333,176.859848,-42.828625,178.241028,209.411835,48.370861,166.338379,-162.337936,84.821159,162.696121,202.411392,8.420529,253.964523,89.778091,-6.085565,-0.975236,139.987320,46.234600,155.636749,85.191093,4.617568,1.681850,77.900543,80.273529,138.458710
78,1.300000,176.875092,-42.841602,178.265732,209.410645,48.368404,166.336197,-162.339249,84.821114,162.697418,202.283447,8.418812,253.982666,89.781929,-6.085025,-0.975132,139.986877,46.235134,155.636398,-96.637619,-4.392673,177.857727,77.922127,80.267555,138.415558
79,1.316667,176.871490,-42.840160,178.263992,209.410782,48.368725,166.336716,-115.522667,84.656212,111.355133,202.170380,8.495286,253.940506,89.782692,-6.075011,-0.974197,139.985931,46.238091,155.635559,85.201424,4.614269,1.670776,77.900948,80.274384,138.460190
80,1.333333,176.867767,-42.827106,178.253357,209.410934,48.370567,166.338043,-115.522896,84.656387,111.355461,202.064850,8.625207,253.848480,89.782097,-6.080536,-0.975754,139.985535,46.238056,155.635986,-96.642624,-4.398104,177.850357,77.922592,80.268318,138.416397
81,1.350000,176.867676,-42.838726,178.266434,209.410568,48.369102,166.337158,-115.522598,84.656265,111.355103,201.965164,8.616136,253.821609,89.781540,-6.083106,-0.968938,139.987213,46.235104,155.636368,85.194542,4.622332,1.677428,77.900520,80.273270,138.458496
