frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
61,1.016667,-1.368839,-54.635818,-0.059408,182.853241,50.185650,294.414673,176.044037,8.493767,-178.653244,75.987396,7.097864,225.336487,88.124649,-5.791185,-9.172136,103.471756,45.861034,155.435593,-87.506950,2.349591,-93.942688,11.282685,64.441513,221.375107
62,1.033333,-1.253315,-54.715893,0.031546,182.841995,50.175495,294.423370,176.044022,8.493780,-178.653259,75.989357,7.095683,225.336212,88.126717,-5.789380,-9.165228,103.471909,45.860893,155.436600,92.353004,-2.940969,-84.835068,11.573612,64.421448,221.432159
63,1.050000,-1.273752,-54.742130,-0.003994,182.842850,50.172085,294.427795,176.043991,8.493792,-178.653290,75.987206,7.098103,225.335434,88.119690,-5.794723,-9.192576,103.469345,45.854626,155.432724,-87.516945,2.315455,-93.971359,11.285820,64.442528,221.375580
64,1.066667,-1.347035,-54.628101,-0.040671,182.855957,50.183914,294.414337,176.043961,8.493806,-178.653305,75.990288,7.095468,225.335831,88.382179,4.524704,170.780197,103.376183,45.851219,155.538773,92.341202,-2.912580,-84.889618,11.567797,64.421432,221.432358
65,1.083333,-1.241090,-54.714195,0.033004,182.842514,50.173996,294.421112,176.043930,8.493812,-178.653305,75.989815,7.096791,225.335220,88.412766,4.500277,170.815399,103.376732,45.844521,155.539764,-87.515526,2.338257,-93.955742,11.284159,64.441620,221.375397
66,1.100000,-1.280342,-54.743023,-0.009620,182.842133,50.172295,294.428558,176.043915,8.493821,-178.653336,75.987976,7.094491,225.336639,88.140617,-5.801227,-9.181955,103.469528,45.855881,155.432587,92.345924,-2.961890,-84.817558,11.577381,64.422829,221.432083
67,1.116667,-1.244233,-54.709602,0.028696,182.844131,50.174110,294.421692,176.043900,8.493831,-178.653351,75.989021,7.097292,225.335342,88.385872,4.524075,170.782394,103.375450,45.849037,155.538208,-87.513824,2.300591,-93.971199,11.287470,64.442230,221.375031
68,1.133333,-1.232290,-54.707935,0.039195,182.843140,50.173409,294.421021,176.043854,8.493840,-178.653381,75.989441,7.096183,225.337952,88.408844,4.511724,170.818497,103.375839,45.844246,155.539291,92.341805,-2.925218,-84.863594,11.570318,64.422050,221.431808
69,1.150000,-1.266989,-54.743462,0.014477,182.841248,50.172340,294.429535,176.043808,8.493862,-178.653397,75.986259,7.096398,225.342102,88.132675,-5.800568,-9.183482,103.470482,45.856976,155.432800,-87.518112,2.305082,-93.972282,11.284955,64.440643,221.377350
70,1.166667,-1.291314,-54.740444,-0.021152,182.844620,50.173759,294.426117,176.043762,8.493885,-178.653412,75.985466,7.099116,225.348526,88.394012,4.532316,170.780243,103.375282,45.852276,155.539169,92.342888,-2.929395,-84.862488,11.571435,64.421776,221.432465
